# step , loss function , Y0 , learning rate , running time 
0.000000000000000000e+00,1.731126362942347549e-02,4.682330800921779002e-01,1.000000047497451305e-03,5.751830101013183594e+00
1.000000000000000000e+00,1.505166745737660239e-01,4.680038781460927888e-01,1.000000047497451305e-03,5.753830432891845703e+00
2.000000000000000000e+00,3.414784699560636551e-03,4.672575800326677631e-01,1.000000047497451305e-03,5.755831480026245117e+00
3.000000000000000000e+00,9.867060297078822373e-02,4.671596646489460380e-01,1.000000047497451305e-03,5.757833003997802734e+00
4.000000000000000000e+00,3.783236066418006749e-02,4.665851051644185898e-01,1.000000047497451305e-03,5.759834051132202148e+00
5.000000000000000000e+00,1.253909274401291893e-02,4.662309799779122410e-01,1.000000047497451305e-03,5.760834693908691406e+00
6.000000000000000000e+00,5.681905912683908491e-05,4.660350855103427836e-01,1.000000047497451305e-03,5.762836217880249023e+00
7.000000000000000000e+00,9.405442930767946019e-02,4.660220104712046174e-01,1.000000047497451305e-03,5.764837503433227539e+00
8.000000000000000000e+00,7.224593882842928773e-05,4.654821251579382424e-01,1.000000047497451305e-03,5.766838550567626953e+00
9.000000000000000000e+00,9.152617011849315193e-04,4.654672717451212027e-01,1.000000047497451305e-03,5.767839670181274414e+00
1.000000000000000000e+01,3.794436328053560348e-02,4.654143260136998639e-01,1.000000047497451305e-03,5.769840717315673828e+00
1.100000000000000000e+01,6.334312214358550587e-04,4.657258475284480892e-01,1.000000047497451305e-03,5.771842241287231445e+00
1.200000000000000000e+01,5.510905326381335817e-02,4.657690257012563340e-01,1.000000047497451305e-03,5.773843288421630859e+00
1.300000000000000000e+01,1.495928317048899172e-03,4.653326910875017486e-01,1.000000047497451305e-03,5.774844408035278320e+00
1.400000000000000000e+01,1.186612596715426876e-01,4.652700087693507625e-01,1.000000047497451305e-03,5.776845455169677734e+00
1.500000000000000000e+01,9.996634103878107840e-04,4.645181340624940369e-01,1.000000047497451305e-03,5.778846979141235352e+00
1.600000000000000000e+01,1.830587200084789505e-03,4.645738293550836784e-01,1.000000047497451305e-03,5.780848264694213867e+00
1.700000000000000000e+01,1.262243303647555548e-01,4.644997773721632472e-01,1.000000047497451305e-03,5.781848669052124023e+00
1.800000000000000000e+01,1.038761498585428003e-02,4.637949158091054791e-01,1.000000047497451305e-03,5.783850193023681641e+00
1.900000000000000000e+01,2.014275166405761486e-02,4.636255869260735296e-01,1.000000047497451305e-03,5.785851478576660156e+00
2.000000000000000000e+01,1.586691920361685618e-02,4.633664908397411297e-01,1.000000047497451305e-03,5.787852764129638672e+00
2.100000000000000000e+01,3.004565020256814295e-03,4.631500870889521115e-01,1.000000047497451305e-03,5.788853406906127930e+00
2.200000000000000000e+01,1.788891639006704587e-02,4.632409173776683708e-01,1.000000047497451305e-03,5.790854930877685547e+00
2.300000000000000000e+01,4.028444182755198943e-03,4.630206221125911514e-01,1.000000047497451305e-03,5.792856216430664062e+00
2.400000000000000000e+01,2.014048715101325326e-01,4.631208401314217959e-01,1.000000047497451305e-03,5.794857740402221680e+00
2.500000000000000000e+01,2.211408442381157524e-02,4.622655619854244002e-01,1.000000047497451305e-03,5.795858383178710938e+00
2.600000000000000000e+01,2.562516015619440563e-03,4.625054205212950631e-01,1.000000047497451305e-03,5.797859430313110352e+00
2.700000000000000000e+01,1.477509042879051639e-02,4.625945098355072616e-01,1.000000047497451305e-03,5.799860954284667969e+00
2.800000000000000000e+01,8.530298878144439503e-03,4.623898341669945289e-01,1.000000047497451305e-03,5.800861597061157227e+00
2.900000000000000000e+01,4.292412075200739002e-02,4.625406560372302689e-01,1.000000047497451305e-03,5.802862882614135742e+00
3.000000000000000000e+01,8.280648545259599452e-03,4.621831269345554327e-01,1.000000047497451305e-03,5.804864168167114258e+00
3.100000000000000000e+01,7.252976783799425231e-02,4.620307959095974470e-01,1.000000047497451305e-03,5.806865692138671875e+00
3.200000000000000000e+01,2.767004734551382905e-02,4.615517911011821073e-01,1.000000047497451305e-03,5.807866334915161133e+00
3.300000000000000000e+01,7.414084536802854376e-04,4.618337151054806577e-01,1.000000047497451305e-03,5.809867382049560547e+00
3.400000000000000000e+01,4.522371315814741955e-07,4.617823313664950469e-01,1.000000047497451305e-03,5.811868906021118164e+00
3.500000000000000000e+01,1.332265704605441062e-03,4.617833949167026719e-01,1.000000047497451305e-03,5.813870191574096680e+00
3.600000000000000000e+01,1.218751705547462261e-01,4.618451164188643876e-01,1.000000047497451305e-03,5.814871072769165039e+00
